id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,kulczynski,imbalance_ratio
275,"['Terminator 2: Judgment Day (1991)', 'Pulp Fiction (1994)']",['Seven (a.k.a. Se7en) (1995)'],0.1628,0.1988,0.1082,0.664619,0.604442,0.142068
276,"['Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Pulp Fiction (1994)']",['Seven (a.k.a. Se7en) (1995)'],0.1362,0.1988,0.1018,0.74743,0.629751,0.268439
277,"['Jurassic Park (1993)', 'Matrix, The (1999)']",['Back to the Future (1985)'],0.1434,0.1982,0.1006,0.701534,0.604551,0.227386
278,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Back to the Future (1985)'],0.1698,0.1982,0.1106,0.651355,0.604688,0.110334
279,"['Back to the Future (1985)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1252,0.1864,0.1042,0.832268,0.69564,0.295082
280,"['Back to the Future (1985)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1302,0.1698,0.1042,0.800307,0.706985,0.202247
281,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Back to the Future (1985)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.1302,0.1042,0.613663,0.706985,0.202247
282,['Batman (1989)'],['Jurassic Park (1993)'],0.1972,0.2644,0.1374,0.696755,0.608211,0.207279
283,['Batman (1989)'],['Apollo 13 (1995)'],0.1972,0.208,0.1332,0.675456,0.65792,0.039706
284,['Apollo 13 (1995)'],['Batman (1989)'],0.208,0.1972,0.1332,0.640385,0.65792,0.039706
285,['Batman (1989)'],"['Fugitive, The (1993)']",0.1972,0.2068,0.13,0.659229,0.643928,0.035036
286,"['Fugitive, The (1993)']",['Batman (1989)'],0.2068,0.1972,0.13,0.628627,0.643928,0.035036
287,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']",['Batman (1989)'],0.1728,0.1972,0.1112,0.643519,0.603707,0.094281
288,"['Batman (1989)', 'Pulp Fiction (1994)']",['Apollo 13 (1995)'],0.1536,0.208,0.112,0.729167,0.633814,0.217949
289,"['Apollo 13 (1995)', 'Pulp Fiction (1994)']",['Batman (1989)'],0.1568,0.1972,0.112,0.714286,0.641118,0.166942
290,"['Batman (1989)', 'Forrest Gump (1994)']",['Apollo 13 (1995)'],0.1356,0.208,0.1016,0.749263,0.618862,0.299174
291,"['Apollo 13 (1995)', 'Silence of the Lambs, The (1991)']",['Batman (1989)'],0.1442,0.1972,0.1,0.693481,0.60029,0.219553
292,"['Batman (1989)', 'Pulp Fiction (1994)']","['Fugitive, The (1993)']",0.1536,0.2068,0.1068,0.695313,0.605877,0.209779
293,"['Fugitive, The (1993)', 'Pulp Fiction (1994)']",['Batman (1989)'],0.1514,0.1972,0.1068,0.705416,0.623499,0.189413
294,"['Batman (1989)', 'Jurassic Park (1993)']","['Fugitive, The (1993)']",0.1374,0.2068,0.1048,0.762737,0.634753,0.289891
295,"['Jurassic Park (1993)', 'Fugitive, The (1993)']",['Batman (1989)'],0.1478,0.1972,0.1048,0.709066,0.620253,0.205662
296,"['Fugitive, The (1993)', 'Silence of the Lambs, The (1991)']",['Batman (1989)'],0.1546,0.1972,0.1042,0.673997,0.601198,0.172052
297,"['Batman (1989)', 'Forrest Gump (1994)']","['Fugitive, The (1993)']",0.1356,0.2068,0.1012,0.746313,0.617838,0.295191
298,"['Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)']",['Batman (1989)'],0.1662,0.1972,0.1086,0.65343,0.60207,0.121664
299,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1956,0.211,0.1646,0.841513,0.810804,0.063636
300,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.211,0.1956,0.1646,0.780095,0.810804,0.063636
301,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1956,0.1988,0.1622,0.829243,0.822569,0.013781
302,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1988,0.1956,0.1622,0.815895,0.822569,0.013781
303,"['Lord of the Rings: The Return of the King, The (2003)']","['Matrix, The (1999)']",0.1956,0.2876,0.1544,0.789366,0.663112,0.279805
304,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1622,0.211,0.1524,0.939581,0.830928,0.221014
305,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1646,0.1988,0.1524,0.925881,0.84624,0.162085
306,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.174,0.1956,0.1524,0.875862,0.827502,0.099448
307,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1956,0.174,0.1524,0.779141,0.827502,0.099448
308,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1988,0.1646,0.1524,0.7666,0.84624,0.162085
309,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.211,0.1622,0.1524,0.722275,0.830928,0.221014
310,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1544,0.211,0.138,0.893782,0.773905,0.248901
311,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1658,0.1956,0.138,0.832328,0.768925,0.133393
312,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1956,0.1658,0.138,0.705521,0.768925,0.133393
313,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.211,0.1544,0.138,0.654028,0.773905,0.248901
314,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1544,0.1988,0.1354,0.876943,0.779015,0.203857
315,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)']",0.154,0.1956,0.1354,0.879221,0.785725,0.194211
316,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1956,0.154,0.1354,0.692229,0.785725,0.194211
317,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.1988,0.1544,0.1354,0.681087,0.779015,0.203857
318,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)']",0.138,0.1988,0.1294,0.937681,0.794293,0.293153
319,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1434,0.1956,0.1294,0.902371,0.781963,0.249046
320,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1622,0.1658,0.1294,0.797781,0.789119,0.018127
321,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1646,0.154,0.1294,0.786148,0.813204,0.056025
322,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1544,0.174,0.1294,0.838083,0.79088,0.098492
323,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.174,0.1544,0.1294,0.743678,0.79088,0.098492
324,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.154,0.1646,0.1294,0.84026,0.813204,0.056025
325,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1658,0.1622,0.1294,0.780458,0.789119,0.018127
326,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1956,0.1434,0.1294,0.661554,0.781963,0.249046
327,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1988,0.138,0.1294,0.650905,0.794293,0.293153
328,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Shawshank Redemption, The (1994)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1342,0.1956,0.1116,0.831595,0.701073,0.281393
329,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Shawshank Redemption, The (1994)']",0.1622,0.1342,0.1046,0.644883,0.712158,0.145985
330,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Shawshank Redemption, The (1994)']",0.1646,0.126,0.1046,0.63548,0.732819,0.207527
331,"['Lord of the Rings: The Return of the King, The (2003)', 'Shawshank Redemption, The (1994)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1266,0.174,0.1046,0.826224,0.713687,0.241837
332,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Shawshank Redemption, The (1994)']",0.174,0.1266,0.1046,0.601149,0.713687,0.241837
333,"['Lord of the Rings: The Two Towers, The (2002)', 'Shawshank Redemption, The (1994)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.126,0.1646,0.1046,0.830159,0.732819,0.207527
334,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Shawshank Redemption, The (1994)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1342,0.1622,0.1046,0.779434,0.712158,0.145985
335,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1362,0.1956,0.1134,0.832599,0.706177,0.271978
336,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1806,0.1956,0.1132,0.6268,0.602766,0.057034
337,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1646,0.1806,0.1048,0.636695,0.608491,0.066556
338,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1544,0.1362,0.1048,0.678756,0.724106,0.097955
339,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1242,0.1658,0.1048,0.8438,0.737943,0.224622
340,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1658,0.1242,0.1048,0.632087,0.737943,0.224622
341,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.1362,0.1544,0.1048,0.769457,0.724106,0.097955
342,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1622,0.1362,0.1084,0.668311,0.7321,0.136842
343,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1646,0.1278,0.1084,0.658566,0.753383,0.2
344,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1242,0.174,0.1084,0.872786,0.747888,0.262381
345,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']",0.174,0.1242,0.1084,0.622989,0.747888,0.262381
346,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1278,0.1646,0.1084,0.8482,0.753383,0.2
347,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1362,0.1622,0.1084,0.795888,0.7321,0.136842
348,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1622,0.1806,0.1038,0.639951,0.607351,0.076987
349,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1544,0.1278,0.1038,0.67228,0.742244,0.149103
350,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1242,0.154,0.1038,0.835749,0.754887,0.170872
351,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']",0.154,0.1242,0.1038,0.674026,0.754887,0.170872
352,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.1278,0.1544,0.1038,0.812207,0.742244,0.149103
353,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1126,0.1658,0.1002,0.889876,0.747109,0.298541
354,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1134,0.154,0.1002,0.883598,0.767124,0.242823
355,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.12,0.1544,0.1002,0.835,0.741982,0.197474
356,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1152,0.1646,0.1002,0.869792,0.73927,0.275056
357,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1222,0.1622,0.1002,0.819967,0.718862,0.217155
358,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1524,0.1806,0.1002,0.65748,0.606148,0.121134
359,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1354,0.1362,0.1002,0.74003,0.737856,0.004667
360,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.138,0.1278,0.1002,0.726087,0.755062,0.061594
361,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1434,0.1242,0.1002,0.698745,0.752754,0.114695
362,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1242,0.1434,0.1002,0.806763,0.752754,0.114695
363,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1278,0.138,0.1002,0.784038,0.755062,0.061594
364,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1362,0.1354,0.1002,0.735683,0.737856,0.004667
365,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1622,0.1222,0.1002,0.617756,0.718862,0.217155
366,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1646,0.1152,0.1002,0.608748,0.73927,0.275056
367,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1544,0.12,0.1002,0.648964,0.741982,0.197474
368,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.154,0.1134,0.1002,0.650649,0.767124,0.242823
369,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1658,0.1126,0.1002,0.604343,0.747109,0.298541
370,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1368,0.1956,0.112,0.818713,0.695655,0.266788
371,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1622,0.1368,0.1064,0.65598,0.716879,0.13188
372,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Forrest Gump (1994)']",0.1646,0.1296,0.1064,0.646416,0.733702,0.186368
373,"['Lord of the Rings: The Return of the King, The (2003)', 'Forrest Gump (1994)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.123,0.174,0.1064,0.865041,0.738267,0.267576
374,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Forrest Gump (1994)']",0.174,0.123,0.1064,0.611494,0.738267,0.267576
375,"['Lord of the Rings: The Two Towers, The (2002)', 'Forrest Gump (1994)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1296,0.1646,0.1064,0.820988,0.733702,0.186368
376,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1368,0.1622,0.1064,0.777778,0.716879,0.13188
377,"['Lord of the Rings: The Return of the King, The (2003)', 'Forrest Gump (1994)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.123,0.1658,0.1008,0.819512,0.713736,0.22766
378,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1544,0.1368,0.1008,0.65285,0.694846,0.092437
379,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.1368,0.1544,0.1008,0.736842,0.694846,0.092437
380,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Forrest Gump (1994)']",0.1658,0.123,0.1008,0.607961,0.713736,0.22766
381,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1324,0.1956,0.1096,0.827795,0.694061,0.289377
382,"['Matrix, The (1999)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1666,0.1956,0.1082,0.64946,0.601315,0.114173
383,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Fight Club (1999)']",0.1646,0.1666,0.1006,0.611179,0.607511,0.008673
384,"['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']",0.1544,0.1324,0.1006,0.651554,0.705686,0.118153
385,"['Lord of the Rings: The Return of the King, The (2003)', 'Fight Club (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1192,0.1658,0.1006,0.84396,0.725358,0.252711
386,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Fight Club (1999)']",0.1658,0.1192,0.1006,0.606755,0.725358,0.252711
387,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Matrix, The (1999)']",0.1324,0.1544,0.1006,0.759819,0.705686,0.118153
388,"['Matrix, The (1999)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1666,0.1646,0.1006,0.603842,0.607511,0.008673
389,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']",0.1622,0.1324,0.103,0.635018,0.706482,0.155532
390,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Fight Club (1999)']",0.1646,0.1232,0.103,0.625759,0.730899,0.224026
391,"['Lord of the Rings: The Return of the King, The (2003)', 'Fight Club (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1192,0.174,0.103,0.864094,0.728024,0.288118
392,"['Lord of the Rings: The Two Towers, The (2002)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1232,0.1646,0.103,0.836039,0.730899,0.224026
393,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1324,0.1622,0.103,0.777946,0.706482,0.155532
394,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1622,0.1238,0.1,0.616523,0.712139,0.206452
395,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1646,0.1172,0.1,0.607533,0.730387,0.260726
396,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1172,0.1646,0.1,0.853242,0.730387,0.260726
397,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1238,0.1622,0.1,0.807754,0.712139,0.206452
398,['Batman (1989)'],['Dances with Wolves (1990)'],0.1972,0.189,0.131,0.6643,0.678711,0.032132
399,['Dances with Wolves (1990)'],['Batman (1989)'],0.189,0.1972,0.131,0.693122,0.678711,0.032132
400,['Apollo 13 (1995)'],['Dances with Wolves (1990)'],0.208,0.189,0.1296,0.623077,0.654396,0.071055
